state,state_wise_no
"Total (All India)",2911862
"Total (States)",2858026
Maharashtra,901945
"West Bengal",849936
"Tamil Nadu",818691
"Andhra Pradesh",814059
Karnataka,734825
Kerala,538946
"Madhya Pradesh",451535
Gujarat,330858
Chhattisgarh,302354
Odisha,267234
Rajasthan,255134
"Uttar Pradesh",233352
Assam,172276
Haryana,147176
"Delhi (Ut)",84272
"Total (Uts)",53836
Jharkhand,49720
Punjab,46350
Bihar,46214
Tripura,45965
Puducherry,32144
"Himachal Pradesh",26562
Uttarakhand,18496
Goa,17363
"Jammu & Kashmir",14821
Sikkim,9606
"A & N Islands",8109
"Arunachal Pradesh",6633
Meghalaya,5415
Chandigarh,5164
Mizoram,4154
"D & N Haveli",3430
Manipur,2102
Nagaland,1728
"Daman & Diu",1391
Lakshadweep,50
